,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Inlet-Ohiwa Harbour West.,Theft and Related Offences,2023,Bay of Plenty Region,1
1,Tauranga City-Marinas.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
2,Inlet-Tauranga Harbour Omokoroa.,Theft and Related Offences,2023,Bay of Plenty Region,1
3,Inlet-Tauranga Harbour.,Theft and Related Offences,2023,Bay of Plenty Region,1
4,Inlet-Tauranga Harbour.,Theft and Related Offences,2023,Bay of Plenty Region,1
5,Inland Water-Lake Rotorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
6,Tikitere.,Theft and Related Offences,2023,Bay of Plenty Region,1
7,Inlet-Tauranga Harbour.,Theft and Related Offences,2023,Bay of Plenty Region,1
8,Tauranga City-Marinas.,Theft and Related Offences,2023,Bay of Plenty Region,1
9,Whakatane West.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
10,Urewera.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
11,Rotoma.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
12,Urewera.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
13,Kawerau.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
14,Trident.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
15,Allandale-Mokorua.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
16,Otakiri.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
17,Allandale-Mokorua.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
18,Poroporo.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
19,Allandale-Mokorua.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
20,Trident.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
21,Taneatua.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
22,Opotiki.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
23,Opotiki.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
24,Urewera.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
