,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Avon-Heathcote Estuary.,Theft and Related Offences,2023,Canterbury Region,1
1,Inland Water-Lake Tekapo.,"Robbery, Extortion and Related Offences",2023,Canterbury Region,1
2,Lincoln.,Acts Intended to Cause Injury,2023,Canterbury Region,1
3,Avon-Heathcote Estuary.,Theft and Related Offences,2023,Canterbury Region,2
4,Chertsey.,Theft and Related Offences,2023,Canterbury Region,1
5,Upper Riccarton.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Canterbury Region,1
6,Avon-Heathcote Estuary.,Theft and Related Offences,2023,Canterbury Region,1
7,Yaldhurst.,Theft and Related Offences,2023,Canterbury Region,1
8,Mt Somers.,Theft and Related Offences,2023,Canterbury Region,1
9,Wigram.,Theft and Related Offences,2023,Canterbury Region,1
10,Prestons.,Acts Intended to Cause Injury,2023,Canterbury Region,1
11,Mona Vale.,Theft and Related Offences,2023,Canterbury Region,1
12,Oaklands East.,Theft and Related Offences,2023,Canterbury Region,2
13,Kaiapoi South.,Theft and Related Offences,2023,Canterbury Region,2
14,Mt Pleasant.,Theft and Related Offences,2023,Canterbury Region,1
15,Avon Loop.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Canterbury Region,1
16,Pleasant Point.,Acts Intended to Cause Injury,2023,Canterbury Region,1
17,Waimataitai.,Acts Intended to Cause Injury,2023,Canterbury Region,1
18,Shirley West.,Acts Intended to Cause Injury,2023,Canterbury Region,1
19,Paparua.,Acts Intended to Cause Injury,2023,Canterbury Region,1
20,Fendalton.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Canterbury Region,1
21,Sawyers Arms.,Theft and Related Offences,2023,Canterbury Region,1
22,Kaiapoi South.,Theft and Related Offences,2023,Canterbury Region,1
23,Woolston West.,"Robbery, Extortion and Related Offences",2023,Canterbury Region,2
24,Hagley Park.,Theft and Related Offences,2023,Canterbury Region,1
25,Addington.,Theft and Related Offences,2023,Canterbury Region,1
26,Papanui.,Acts Intended to Cause Injury,2023,Canterbury Region,1
27,Middleton.,Acts Intended to Cause Injury,2023,Canterbury Region,1
28,Ashburton North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Canterbury Region,1
29,Ashley Gorge.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Canterbury Region,1
30,Bishopdale North.,Acts Intended to Cause Injury,2023,Canterbury Region,1
31,Hoon Hay South.,"Robbery, Extortion and Related Offences",2023,Canterbury Region,1
32,Casebrook.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Canterbury Region,1
33,Jellie Park.,Theft and Related Offences,2023,Canterbury Region,1
34,Cathedral Square.,Theft and Related Offences,2023,Canterbury Region,1
35,Ilam.,Theft and Related Offences,2023,Canterbury Region,1
36,Avon Loop.,Sexual Assault and Related Offences,2023,Canterbury Region,1
37,Cathedral Square.,Theft and Related Offences,2023,Canterbury Region,2
38,Merivale.,Theft and Related Offences,2023,Canterbury Region,2
39,Bishopdale North.,Theft and Related Offences,2023,Canterbury Region,2
40,Hornby North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Canterbury Region,1
41,Cathedral Square.,Theft and Related Offences,2023,Canterbury Region,1
42,Cathedral Square.,Theft and Related Offences,2023,Canterbury Region,1
43,Addington.,Theft and Related Offences,2023,Canterbury Region,1
44,Northcote.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Canterbury Region,1
45,New Brighton.,"Robbery, Extortion and Related Offences",2023,Canterbury Region,1
46,Addington.,"Robbery, Extortion and Related Offences",2023,Canterbury Region,1
47,Riccarton.,"Robbery, Extortion and Related Offences",2023,Canterbury Region,1
