,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Te Hapara,Theft and Related Offences,2021,Gisborne Region,1
1,Gisborne Central,Theft and Related Offences,2021,Gisborne Region,1
2,Gisborne Airport,Theft and Related Offences,2023,Gisborne Region,1
3,Mangapapa,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
4,Outer Kaiti,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
5,Gisborne Airport,Theft and Related Offences,2023,Gisborne Region,1
6,Gisborne Airport,Acts Intended to Cause Injury,2023,Gisborne Region,1
7,Riverdale,Theft and Related Offences,2023,Gisborne Region,1
8,Makaraka,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
9,Riverdale,Acts Intended to Cause Injury,2021,Gisborne Region,1
10,Tarndale-Rakauroa,Theft and Related Offences,2023,Gisborne Region,1
11,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
12,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
13,Te Hapara,Theft and Related Offences,2021,Gisborne Region,1
14,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
15,Outer Kaiti,Theft and Related Offences,2022,Gisborne Region,1
16,Kaiti South,"Robbery, Extortion and Related Offences",2022,Gisborne Region,1
17,Gisborne Airport,Acts Intended to Cause Injury,2021,Gisborne Region,1
18,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
19,Gisborne Airport,Acts Intended to Cause Injury,2023,Gisborne Region,1
20,Te Hapara,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
21,Gisborne Central,Acts Intended to Cause Injury,2021,Gisborne Region,2
22,Tamarau,"Abduction, Harassment and Other Related Offences Against a Person",2021,Gisborne Region,1
23,Tiniroto,Theft and Related Offences,2021,Gisborne Region,1
24,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
25,Wainui,Theft and Related Offences,2023,Gisborne Region,1
26,Gisborne Central,Theft and Related Offences,2022,Gisborne Region,1
27,Te Hapara,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
28,Te Hapara,"Unlawful Entry With Intent/Burglary, Break and Enter",2022,Gisborne Region,1
29,Makaraka,Acts Intended to Cause Injury,2023,Gisborne Region,1
30,East Cape,Acts Intended to Cause Injury,2021,Gisborne Region,1
31,Outer Kaiti,Theft and Related Offences,2022,Gisborne Region,1
32,Riverdale,Theft and Related Offences,2022,Gisborne Region,1
33,Gisborne Central,Theft and Related Offences,2022,Gisborne Region,1
34,Gisborne Central,"Unlawful Entry With Intent/Burglary, Break and Enter",2022,Gisborne Region,1
35,Te Hapara,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
36,Outer Kaiti,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
37,Gisborne Central,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
38,East Cape,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
39,Wainui,Acts Intended to Cause Injury,2021,Gisborne Region,1
40,Gisborne Central,Acts Intended to Cause Injury,2021,Gisborne Region,1
41,Te Hapara,Acts Intended to Cause Injury,2021,Gisborne Region,1
42,Gisborne Central,Acts Intended to Cause Injury,2021,Gisborne Region,1
43,Riverdale,Acts Intended to Cause Injury,2021,Gisborne Region,1
44,Ruatoria,Acts Intended to Cause Injury,2021,Gisborne Region,1
45,Whataupoko,"Unlawful Entry With Intent/Burglary, Break and Enter",2022,Gisborne Region,1
46,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
47,Gisborne Central,Theft and Related Offences,2021,Gisborne Region,1
48,Ruatoria,Theft and Related Offences,2021,Gisborne Region,1
49,Gisborne Central,Theft and Related Offences,2022,Gisborne Region,1
50,Gisborne Central,"Abduction, Harassment and Other Related Offences Against a Person",2021,Gisborne Region,1
51,Gisborne Airport,Acts Intended to Cause Injury,2022,Gisborne Region,1
52,Gisborne Central,Theft and Related Offences,2021,Gisborne Region,1
53,Gisborne Central,Theft and Related Offences,2022,Gisborne Region,1
54,Riverdale,Theft and Related Offences,2021,Gisborne Region,1
55,Kaiti South,Theft and Related Offences,2021,Gisborne Region,1
56,Outer Kaiti,Theft and Related Offences,2022,Gisborne Region,1
57,Gisborne Central,Theft and Related Offences,2022,Gisborne Region,1
58,Tiniroto,Theft and Related Offences,2022,Gisborne Region,1
59,Gisborne Central,"Robbery, Extortion and Related Offences",2023,Gisborne Region,1
60,Mangapapa,"Robbery, Extortion and Related Offences",2023,Gisborne Region,1
61,Riverdale,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
62,Tamarau,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
63,Tamarau,"Unlawful Entry With Intent/Burglary, Break and Enter",2022,Gisborne Region,1
64,Gisborne Airport,"Unlawful Entry With Intent/Burglary, Break and Enter",2022,Gisborne Region,1
65,Gisborne Airport,Theft and Related Offences,2022,Gisborne Region,1
66,Kaiti South,Theft and Related Offences,2023,Gisborne Region,1
67,Gisborne Airport,Theft and Related Offences,2022,Gisborne Region,1
68,Wharekaka,Theft and Related Offences,2022,Gisborne Region,1
69,Gisborne Central,Theft and Related Offences,2022,Gisborne Region,1
70,Gisborne Central,Acts Intended to Cause Injury,2021,Gisborne Region,1
71,Te Hapara,Acts Intended to Cause Injury,2023,Gisborne Region,1
72,Mangapapa,Acts Intended to Cause Injury,2021,Gisborne Region,1
73,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
74,East Cape,Theft and Related Offences,2023,Gisborne Region,1
75,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
76,Wharekaka,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
77,Kaiti South,"Unlawful Entry With Intent/Burglary, Break and Enter",2022,Gisborne Region,1
78,Wainui,"Unlawful Entry With Intent/Burglary, Break and Enter",2022,Gisborne Region,1
79,Gisborne Airport,Theft and Related Offences,2023,Gisborne Region,1
80,Outer Kaiti,Theft and Related Offences,2023,Gisborne Region,1
81,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
82,Wharekaka,Theft and Related Offences,2023,Gisborne Region,1
83,Mangapapa,Theft and Related Offences,2023,Gisborne Region,1
84,Kaiti North,Theft and Related Offences,2023,Gisborne Region,1
85,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
86,Patutahi,Acts Intended to Cause Injury,2023,Gisborne Region,1
87,Tamarau,Acts Intended to Cause Injury,2021,Gisborne Region,1
88,Tiniroto,Acts Intended to Cause Injury,2021,Gisborne Region,1
89,Riverdale,Acts Intended to Cause Injury,2023,Gisborne Region,1
90,Gisborne Central,Acts Intended to Cause Injury,2023,Gisborne Region,2
91,Gisborne Central,"Robbery, Extortion and Related Offences",2022,Gisborne Region,1
92,Gisborne Central,Theft and Related Offences,2022,Gisborne Region,1
93,Gisborne Central,"Robbery, Extortion and Related Offences",2021,Gisborne Region,1
94,Gisborne Airport,"Robbery, Extortion and Related Offences",2021,Gisborne Region,2
95,Gisborne Airport,"Robbery, Extortion and Related Offences",2023,Gisborne Region,1
96,Gisborne Central,"Robbery, Extortion and Related Offences",2022,Gisborne Region,1
97,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
98,Gisborne Central,Theft and Related Offences,2023,Gisborne Region,1
99,Wharekaka,Theft and Related Offences,2023,Gisborne Region,1
100,Gisborne Central,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
101,Kaiti North,"Unlawful Entry With Intent/Burglary, Break and Enter",2021,Gisborne Region,1
