,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Nelson Park.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
1,Wairoa.,Acts Intended to Cause Injury,2023,Hawke Region,1
2,Flaxmere East.,Acts Intended to Cause Injury,2023,Hawke Region,2
3,Bluff Hill.,Acts Intended to Cause Injury,2023,Hawke Region,1
4,Marewa.,Acts Intended to Cause Injury,2023,Hawke Region,1
5,Hospital Hill.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
6,Wairoa.,Acts Intended to Cause Injury,2023,Hawke Region,1
7,Camberley.,Acts Intended to Cause Injury,2023,Hawke Region,1
8,Pirimai.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
9,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
10,Mclean Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
11,Mclean Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
12,Elsthorpe-Flemington.,Acts Intended to Cause Injury,2023,Hawke Region,1
13,Marewa.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
14,Mclean Park.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
15,Havelock North Central.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
16,Waipukurau.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
17,Mahora.,Acts Intended to Cause Injury,2023,Hawke Region,1
18,Flaxmere East.,Theft and Related Offences,2023,Hawke Region,1
19,Havelock North Central.,Theft and Related Offences,2023,Hawke Region,1
20,Maraenui.,Acts Intended to Cause Injury,2023,Hawke Region,1
21,Raureka.,Acts Intended to Cause Injury,2023,Hawke Region,1
22,Greenmeadows.,Acts Intended to Cause Injury,2023,Hawke Region,1
23,Westshore.,Acts Intended to Cause Injury,2023,Hawke Region,1
24,Maraenui.,Acts Intended to Cause Injury,2023,Hawke Region,1
25,Anderson Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
26,Marewa.,Acts Intended to Cause Injury,2023,Hawke Region,1
27,Lochain.,Acts Intended to Cause Injury,2023,Hawke Region,1
28,Onekawa South.,Sexual Assault and Related Offences,2023,Hawke Region,1
29,Karamu.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
30,Lochain.,Acts Intended to Cause Injury,2023,Hawke Region,1
31,Meeanee.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
32,Akina.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
33,Camberley.,"Robbery, Extortion and Related Offences",2023,Hawke Region,2
34,Camberley.,Acts Intended to Cause Injury,2023,Hawke Region,1
35,Parkvale.,Acts Intended to Cause Injury,2023,Hawke Region,1
36,Camberley.,Acts Intended to Cause Injury,2023,Hawke Region,1
37,Nelson Park.,Sexual Assault and Related Offences,2023,Hawke Region,1
38,Bluff Hill.,Sexual Assault and Related Offences,2023,Hawke Region,1
39,Hastings Central.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
40,Ahuriri.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
41,Hastings Central.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
42,Nelson Park.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
43,Marewa.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
44,Ahuriri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
45,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
46,Lochain.,Theft and Related Offences,2023,Hawke Region,1
47,Taradale South.,Sexual Assault and Related Offences,2023,Hawke Region,1
48,Bluff Hill.,Sexual Assault and Related Offences,2023,Hawke Region,1
49,Awatoto.,Sexual Assault and Related Offences,2023,Hawke Region,1
