,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Dannevirke East.,Theft and Related Offences,2023,Manawatu Region,1
1,Norsewood-Herbertville.,Theft and Related Offences,2023,Manawatu Region,1
2,Pahiatua.,Acts Intended to Cause Injury,2023,Manawatu Region,1
3,Woodville.,Acts Intended to Cause Injury,2023,Manawatu Region,1
4,Westbrook.,Acts Intended to Cause Injury,2023,Manawatu Region,1
5,Pahiatua.,Acts Intended to Cause Injury,2023,Manawatu Region,1
6,Spriggens Park.,Acts Intended to Cause Injury,2023,Manawatu Region,1
7,Palmerston North Central.,Acts Intended to Cause Injury,2023,Manawatu Region,1
8,Fordell-Kakatahi.,Acts Intended to Cause Injury,2023,Manawatu Region,1
9,Shannon.,Acts Intended to Cause Injury,2023,Manawatu Region,1
10,Palmerston North Central.,Acts Intended to Cause Injury,2023,Manawatu Region,1
11,Palmerston North Central.,Theft and Related Offences,2023,Manawatu Region,1
12,Wanganui Collegiate.,Acts Intended to Cause Injury,2023,Manawatu Region,1
13,Levin North.,Acts Intended to Cause Injury,2023,Manawatu Region,1
14,Milson.,Theft and Related Offences,2023,Manawatu Region,1
15,Roslyn.,Acts Intended to Cause Injury,2023,Manawatu Region,1
16,Taumarunui Central.,Theft and Related Offences,2023,Manawatu Region,1
17,Laird Park.,Theft and Related Offences,2023,Manawatu Region,1
18,Feilding Central.,Acts Intended to Cause Injury,2023,Manawatu Region,1
19,West End.,Acts Intended to Cause Injury,2023,Manawatu Region,1
20,Otangiwai-Heao.,Theft and Related Offences,2023,Manawatu Region,1
21,Gonville West.,Acts Intended to Cause Injury,2023,Manawatu Region,1
22,Levin West.,Acts Intended to Cause Injury,2023,Manawatu Region,1
23,Marton.,Acts Intended to Cause Injury,2023,Manawatu Region,1
24,Marton.,Acts Intended to Cause Injury,2023,Manawatu Region,1
25,Palmerston North Central.,Acts Intended to Cause Injury,2023,Manawatu Region,1
26,Gonville South.,Acts Intended to Cause Injury,2023,Manawatu Region,1
27,Williams Domain.,Acts Intended to Cause Injury,2023,Manawatu Region,1
28,Gonville West.,Acts Intended to Cause Injury,2023,Manawatu Region,1
29,Kelvin Grove.,Acts Intended to Cause Injury,2023,Manawatu Region,1
30,Cooks Gardens.,Acts Intended to Cause Injury,2023,Manawatu Region,1
31,Awapuni North.,Acts Intended to Cause Injury,2023,Manawatu Region,1
32,Levin West.,Acts Intended to Cause Injury,2023,Manawatu Region,1
33,Highbury.,Acts Intended to Cause Injury,2023,Manawatu Region,1
34,Aokautere.,Acts Intended to Cause Injury,2023,Manawatu Region,1
35,Milson.,Acts Intended to Cause Injury,2023,Manawatu Region,1
36,Ohakune.,Theft and Related Offences,2023,Manawatu Region,1
37,Springvale West.,Theft and Related Offences,2023,Manawatu Region,1
38,Mosston.,Theft and Related Offences,2023,Manawatu Region,1
39,Marton.,Theft and Related Offences,2023,Manawatu Region,1
40,Palmerston North Central.,Theft and Related Offences,2023,Manawatu Region,1
41,Foxton.,Theft and Related Offences,2023,Manawatu Region,1
42,Ashhurst.,Theft and Related Offences,2023,Manawatu Region,1
43,Feilding Central.,Theft and Related Offences,2023,Manawatu Region,1
44,Cloverlea.,Theft and Related Offences,2023,Manawatu Region,1
45,Tangiwai.,Acts Intended to Cause Injury,2023,Manawatu Region,1
46,Castlecliff South.,Acts Intended to Cause Injury,2023,Manawatu Region,1
47,Highbury.,Acts Intended to Cause Injury,2023,Manawatu Region,1
48,Papaeoia.,Acts Intended to Cause Injury,2023,Manawatu Region,1
49,Sanson.,Acts Intended to Cause Injury,2023,Manawatu Region,2
50,Tarrangower.,Acts Intended to Cause Injury,2023,Manawatu Region,1
51,Dannevirke East.,Theft and Related Offences,2023,Manawatu Region,1
52,Durie Hill.,Theft and Related Offences,2023,Manawatu Region,1
53,Palmerston North Central.,Theft and Related Offences,2023,Manawatu Region,1
54,Palmerston North Central.,Theft and Related Offences,2023,Manawatu Region,1
55,Awapuni South.,Theft and Related Offences,2023,Manawatu Region,1
56,Feilding West.,Theft and Related Offences,2023,Manawatu Region,1
57,Papaeoia.,Theft and Related Offences,2023,Manawatu Region,1
58,Terrace End.,Theft and Related Offences,2023,Manawatu Region,1
59,Dannevirke East.,Theft and Related Offences,2023,Manawatu Region,1
60,Massey University.,Theft and Related Offences,2023,Manawatu Region,1
61,Dannevirke West.,Theft and Related Offences,2023,Manawatu Region,1
62,Nireaha-Tiraumea.,Theft and Related Offences,2023,Manawatu Region,1
63,Papatawa.,Theft and Related Offences,2023,Manawatu Region,1
64,Hokowhitu East.,Acts Intended to Cause Injury,2023,Manawatu Region,1
65,Cooks Gardens.,Acts Intended to Cause Injury,2023,Manawatu Region,1
66,Lower Aramoho.,Acts Intended to Cause Injury,2023,Manawatu Region,1
67,Mosston.,Acts Intended to Cause Injury,2023,Manawatu Region,1
68,Fordell-Kakatahi.,Acts Intended to Cause Injury,2023,Manawatu Region,1
69,Cooks Gardens.,Acts Intended to Cause Injury,2023,Manawatu Region,1
70,Levin East.,Acts Intended to Cause Injury,2023,Manawatu Region,1
