,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Whitney.,Acts Intended to Cause Injury,2023,Marlborough Region,1
1,Tuamarina.,Acts Intended to Cause Injury,2023,Marlborough Region,1
2,Whitney.,Theft and Related Offences,2023,Marlborough Region,1
3,Blenheim Central.,Theft and Related Offences,2023,Marlborough Region,1
4,Picton.,Acts Intended to Cause Injury,2023,Marlborough Region,1
5,Blenheim Central.,Acts Intended to Cause Injury,2023,Marlborough Region,1
6,Marlborough Sounds Terrestrial.,Sexual Assault and Related Offences,2023,Marlborough Region,1
7,Wairau South.,Theft and Related Offences,2023,Marlborough Region,1
8,Marlborough Sounds Coastal Marine.,Theft and Related Offences,2023,Marlborough Region,1
9,Marlborough Sounds Coastal Marine.,Theft and Related Offences,2023,Marlborough Region,1
10,Tuamarina.,Acts Intended to Cause Injury,2023,Marlborough Region,1
11,Whitney.,Theft and Related Offences,2023,Marlborough Region,1
12,Marlborough Sounds Coastal Marine.,Theft and Related Offences,2023,Marlborough Region,1
13,Blenheim Central.,Sexual Assault and Related Offences,2023,Marlborough Region,1
14,Mayfield.,Acts Intended to Cause Injury,2023,Marlborough Region,1
15,Whitney.,Theft and Related Offences,2023,Marlborough Region,1
16,Picton.,Theft and Related Offences,2023,Marlborough Region,1
17,Picton.,Acts Intended to Cause Injury,2023,Marlborough Region,1
18,Blenheim Central.,Acts Intended to Cause Injury,2023,Marlborough Region,1
19,Blenheim Central.,Sexual Assault and Related Offences,2023,Marlborough Region,1
20,Picton.,Theft and Related Offences,2023,Marlborough Region,1
21,Blenheim Central.,Theft and Related Offences,2023,Marlborough Region,1
22,Blenheim Central.,Theft and Related Offences,2023,Marlborough Region,1
23,Mayfield.,Acts Intended to Cause Injury,2023,Marlborough Region,1
24,Blenheim Central.,Sexual Assault and Related Offences,2023,Marlborough Region,1
25,Redwoodtown.,Theft and Related Offences,2023,Marlborough Region,1
26,Seddon.,Theft and Related Offences,2023,Marlborough Region,1
27,Picton.,Acts Intended to Cause Injury,2023,Marlborough Region,1
28,Blenheim Central.,Sexual Assault and Related Offences,2023,Marlborough Region,1
29,Picton.,Acts Intended to Cause Injury,2023,Marlborough Region,1
30,Renwick.,Acts Intended to Cause Injury,2023,Marlborough Region,1
31,Blenheim Central.,Theft and Related Offences,2023,Marlborough Region,1
32,Renwick.,Theft and Related Offences,2023,Marlborough Region,1
33,Mayfield.,Theft and Related Offences,2023,Marlborough Region,1
34,Blenheim Central.,Sexual Assault and Related Offences,2023,Marlborough Region,1
35,Blenheim Central.,Theft and Related Offences,2023,Marlborough Region,1
36,Whitney.,Acts Intended to Cause Injury,2023,Marlborough Region,1
37,Rapaura.,"Robbery, Extortion and Related Offences",2023,Marlborough Region,1
38,Omaka.,Theft and Related Offences,2023,Marlborough Region,1
39,Tuamarina.,Theft and Related Offences,2023,Marlborough Region,1
40,Picton.,Theft and Related Offences,2023,Marlborough Region,1
41,Blenheim Central.,Sexual Assault and Related Offences,2023,Marlborough Region,1
42,Picton.,Acts Intended to Cause Injury,2023,Marlborough Region,1
43,Witherlea.,Theft and Related Offences,2023,Marlborough Region,1
44,Whitney.,Acts Intended to Cause Injury,2023,Marlborough Region,1
45,Havelock.,Theft and Related Offences,2023,Marlborough Region,1
46,Witherlea.,Sexual Assault and Related Offences,2023,Marlborough Region,1
47,Mayfield.,Theft and Related Offences,2023,Marlborough Region,1
48,Marlborough Sounds Terrestrial.,"Robbery, Extortion and Related Offences",2023,Marlborough Region,1
49,Blenheim Central.,Theft and Related Offences,2023,Marlborough Region,1
50,Marlborough Sounds Terrestrial.,Acts Intended to Cause Injury,2023,Marlborough Region,1
51,Whitney.,Acts Intended to Cause Injury,2023,Marlborough Region,1
52,Witherlea.,Acts Intended to Cause Injury,2023,Marlborough Region,1
53,Whitney.,Acts Intended to Cause Injury,2023,Marlborough Region,1
54,Marlborough Sounds Coastal Marine.,Theft and Related Offences,2023,Marlborough Region,1
55,Redwoodtown.,Theft and Related Offences,2023,Marlborough Region,1
56,Omaka.,Theft and Related Offences,2023,Marlborough Region,1
57,Omaka.,"Robbery, Extortion and Related Offences",2023,Marlborough Region,1
58,Redwoodtown.,Theft and Related Offences,2023,Marlborough Region,1
59,Redwoodtown.,Theft and Related Offences,2023,Marlborough Region,1
60,Whitney.,Theft and Related Offences,2023,Marlborough Region,1
61,Mayfield.,Sexual Assault and Related Offences,2023,Marlborough Region,1
62,Whitney.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Marlborough Region,1
63,Blenheim Central.,Theft and Related Offences,2023,Marlborough Region,1
64,Whitney.,Theft and Related Offences,2023,Marlborough Region,1
65,Springlands.,Acts Intended to Cause Injury,2023,Marlborough Region,1
66,Havelock.,Theft and Related Offences,2023,Marlborough Region,1
67,Redwoodtown.,Theft and Related Offences,2023,Marlborough Region,1
68,Waikawa.,Theft and Related Offences,2023,Marlborough Region,1
69,Whitney.,Sexual Assault and Related Offences,2023,Marlborough Region,1
