,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Kamo West.,Theft and Related Offences,2023,Northland,1
1,Raumanga East.,Theft and Related Offences,2023,Northland,1
2,Kensington.,Acts Intended to Cause Injury,2023,Northland,1
3,Inlet-Whangarei Harbour.,Theft and Related Offences,2023,Northland,1
4,Ngunguru.,Sexual Assault and Related Offences,2023,Northland,1
5,Kaitaia West.,Acts Intended to Cause Injury,2023,Northland,1
6,Inlet-Mangawhai Harbour.,Theft and Related Offences,2023,Northland,1
7,Hikurangi.,Acts Intended to Cause Injury,2023,Northland,1
8,Inlet-Whangarei Harbour.,Theft and Related Offences,2023,Northland,1
9,Regent.,Theft and Related Offences,2023,Northland,1
10,Kensington.,"Robbery, Extortion and Related Offences",2023,Northland,1
11,Mairtown.,Acts Intended to Cause Injury,2023,Northland,1
12,Opouteke-Tanekaha.,Acts Intended to Cause Injury,2023,Northland,1
13,Regent.,Sexual Assault and Related Offences,2023,Northland,1
14,Regent.,"Robbery, Extortion and Related Offences",2023,Northland,1
15,Inlet-Bay of Islands.,Theft and Related Offences,2023,Northland,1
16,Hokianga North.,Theft and Related Offences,2023,Northland,1
17,Whangarei Central.,Acts Intended to Cause Injury,2023,Northland,1
18,Bay of Islands.,Theft and Related Offences,2023,Northland,1
19,Tikipunga West.,Theft and Related Offences,2023,Northland,1
20,Moerewa.,Acts Intended to Cause Injury,2023,Northland,1
21,Opouteke-Tanekaha.,Theft and Related Offences,2023,Northland,1
22,Whangarei Central.,"Robbery, Extortion and Related Offences",2023,Northland,1
23,Inlet-Whangarei Harbour.,Theft and Related Offences,2023,Northland,1
24,Ngapuhi-Kaikou.,"Robbery, Extortion and Related Offences",2023,Northland,1
25,Houhora.,Theft and Related Offences,2023,Northland,1
26,Kamo East.,Acts Intended to Cause Injury,2023,Northland,1
27,Morningside.,Acts Intended to Cause Injury,2023,Northland,1
28,Kawakawa.,Theft and Related Offences,2023,Northland,1
29,Regent.,Sexual Assault and Related Offences,2023,Northland,1
30,Inlet-Tutukaka Harbour.,Theft and Related Offences,2023,Northland,1
31,Inlet-Port Whangarei.,Theft and Related Offences,2023,Northland,1
32,Horahora.,Theft and Related Offences,2023,Northland,1
33,Morningside.,Theft and Related Offences,2023,Northland,1
34,Mairtown.,"Robbery, Extortion and Related Offences",2023,Northland,2
35,Otangarei.,"Robbery, Extortion and Related Offences",2023,Northland,1
36,Inlet-Port Whangarei.,Theft and Related Offences,2023,Northland,1
37,Inlet-Bay of Islands.,Theft and Related Offences,2023,Northland,1
38,Russell.,Acts Intended to Cause Injury,2023,Northland,1
39,Opouteke-Tanekaha.,"Robbery, Extortion and Related Offences",2023,Northland,2
40,Moerewa.,Acts Intended to Cause Injury,2023,Northland,1
41,Tikipunga West.,Theft and Related Offences,2023,Northland,1
42,Opouteke-Tanekaha.,Theft and Related Offences,2023,Northland,1
