,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,St Kilda West.,Theft and Related Offences,2023,Otago Region,1
1,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
2,Caversham.,Theft and Related Offences,2023,Otago Region,1
3,Kenmure.,Theft and Related Offences,2023,Otago Region,1
4,Waikouaiti.,Theft and Related Offences,2023,Otago Region,1
5,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
6,North East Valley.,Theft and Related Offences,2023,Otago Region,1
7,Wanaka.,Theft and Related Offences,2023,Otago Region,1
8,St Kilda West.,Theft and Related Offences,2023,Otago Region,1
9,Andersons Bay.,Theft and Related Offences,2023,Otago Region,1
10,North Dunedin.,Theft and Related Offences,2023,Otago Region,1
11,Orana Park.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Otago Region,1
12,St Clair.,Theft and Related Offences,2023,Otago Region,1
13,Oamaru Central.,Theft and Related Offences,2023,Otago Region,1
14,Taieri.,Theft and Related Offences,2023,Otago Region,1
15,High St-Stuart St.,Theft and Related Offences,2023,Otago Region,1
16,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
17,Taieri.,Theft and Related Offences,2023,Otago Region,1
18,Inlet-Otago Harbour.,Theft and Related Offences,2023,Otago Region,1
19,Inland Water-Lake Hawea.,Acts Intended to Cause Injury,2023,Otago Region,2
20,North East Valley.,Acts Intended to Cause Injury,2023,Otago Region,1
21,Caledonian.,Theft and Related Offences,2023,Otago Region,1
22,Wanaka.,Theft and Related Offences,2023,Otago Region,1
23,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
24,Balclutha.,Theft and Related Offences,2023,Otago Region,1
25,Ravensbourne.,Acts Intended to Cause Injury,2023,Otago Region,1
26,Oamaru Central.,Acts Intended to Cause Injury,2023,Otago Region,1
27,Ardgowan.,Acts Intended to Cause Injury,2023,Otago Region,1
28,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
29,Aramoana.,Theft and Related Offences,2023,Otago Region,1
30,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
31,Matukituki.,Theft and Related Offences,2023,Otago Region,1
32,Wanaka.,Theft and Related Offences,2023,Otago Region,1
33,Brockville.,Theft and Related Offences,2023,Otago Region,1
34,Waikouaiti.,Theft and Related Offences,2023,Otago Region,1
35,Mornington.,Theft and Related Offences,2023,Otago Region,1
36,Wanaka.,Theft and Related Offences,2023,Otago Region,1
37,East Taieri.,Theft and Related Offences,2023,Otago Region,1
38,Ravensbourne.,Acts Intended to Cause Injury,2023,Otago Region,1
39,Orana Park.,Acts Intended to Cause Injury,2023,Otago Region,1
40,High St-Stuart St.,Acts Intended to Cause Injury,2023,Otago Region,1
41,Halfway Bush.,Acts Intended to Cause Injury,2023,Otago Region,1
42,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
43,Balclutha.,Theft and Related Offences,2023,Otago Region,1
44,Frankton.,Theft and Related Offences,2023,Otago Region,1
45,Queenstown Bay.,Theft and Related Offences,2023,Otago Region,1
46,Fernhill.,Theft and Related Offences,2023,Otago Region,1
47,Waitati.,Theft and Related Offences,2023,Otago Region,1
48,High St-Stuart St.,Theft and Related Offences,2023,Otago Region,1
49,Otago University.,Theft and Related Offences,2023,Otago Region,1
50,St Clair.,Theft and Related Offences,2023,Otago Region,1
51,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
52,Bush Road.,Theft and Related Offences,2023,Otago Region,1
53,Brockville.,Acts Intended to Cause Injury,2023,Otago Region,1
54,St Kilda East.,Acts Intended to Cause Injury,2023,Otago Region,1
55,Cromwell.,Acts Intended to Cause Injury,2023,Otago Region,1
56,Alexandra.,Acts Intended to Cause Injury,2023,Otago Region,1
57,Waikouaiti.,Acts Intended to Cause Injury,2023,Otago Region,1
58,Saddle Hill.,Acts Intended to Cause Injury,2023,Otago Region,1
59,Kenmure.,Acts Intended to Cause Injury,2023,Otago Region,1
60,St Kilda Central.,Acts Intended to Cause Injury,2023,Otago Region,1
61,Mosgiel South.,Acts Intended to Cause Injury,2023,Otago Region,1
62,Wanaka.,Acts Intended to Cause Injury,2023,Otago Region,1
63,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
64,Taieri.,Acts Intended to Cause Injury,2023,Otago Region,1
65,Musselburgh.,Acts Intended to Cause Injury,2023,Otago Region,2
66,Brockville.,Acts Intended to Cause Injury,2023,Otago Region,1
67,Milton.,Acts Intended to Cause Injury,2023,Otago Region,1
68,Green Island.,Theft and Related Offences,2023,Otago Region,1
69,Alexandra.,Theft and Related Offences,2023,Otago Region,1
70,East Taieri.,Theft and Related Offences,2023,Otago Region,1
71,Wanaka.,Theft and Related Offences,2023,Otago Region,1
72,Otago University.,Theft and Related Offences,2023,Otago Region,1
73,Fernhill.,Theft and Related Offences,2023,Otago Region,1
74,Oamaru Central.,Acts Intended to Cause Injury,2023,Otago Region,2
75,South Dunedin.,Acts Intended to Cause Injury,2023,Otago Region,1
76,Mosgiel South.,Acts Intended to Cause Injury,2023,Otago Region,1
