,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,West Invercargill.,Theft and Related Offences,2023,Southland Region,1
1,Inlet-Bluff Harbour.,Theft and Related Offences,2023,Southland Region,1
2,Newfield-Rockdale.,Theft and Related Offences,2023,Southland Region,1
3,Appleby-Kew.,Acts Intended to Cause Injury,2023,Southland Region,1
4,West Invercargill.,Theft and Related Offences,2023,Southland Region,1
5,West Invercargill.,Theft and Related Offences,2023,Southland Region,1
6,West Invercargill.,Theft and Related Offences,2023,Southland Region,2
7,West Invercargill.,Theft and Related Offences,2023,Southland Region,1
8,West Gore.,Acts Intended to Cause Injury,2023,Southland Region,1
9,Hawthorndale.,Acts Intended to Cause Injury,2023,Southland Region,1
10,Chatton.,Theft and Related Offences,2023,Southland Region,1
11,Tisbury.,Theft and Related Offences,2023,Southland Region,1
12,West Invercargill.,Theft and Related Offences,2023,Southland Region,1
13,Gladstone-Avenal.,Theft and Related Offences,2023,Southland Region,1
14,Gladstone-Avenal.,Theft and Related Offences,2023,Southland Region,1
15,Heidelberg.,Theft and Related Offences,2023,Southland Region,1
16,Heidelberg.,Theft and Related Offences,2023,Southland Region,1
17,Dacre.,Acts Intended to Cause Injury,2023,Southland Region,1
18,Otatara.,Acts Intended to Cause Injury,2023,Southland Region,1
19,Gladstone-Avenal.,Acts Intended to Cause Injury,2023,Southland Region,1
20,Bluff.,Theft and Related Offences,2023,Southland Region,1
21,Georgetown.,Theft and Related Offences,2023,Southland Region,1
22,Richmond.,Theft and Related Offences,2023,Southland Region,1
23,Hawthorndale.,Acts Intended to Cause Injury,2023,Southland Region,1
24,Hawthorndale.,Acts Intended to Cause Injury,2023,Southland Region,1
25,Appleby-Kew.,Acts Intended to Cause Injury,2023,Southland Region,1
26,Otakaro Park.,Acts Intended to Cause Injury,2023,Southland Region,1
27,Mataura.,Acts Intended to Cause Injury,2023,Southland Region,1
28,Gladstone-Avenal.,Acts Intended to Cause Injury,2023,Southland Region,1
29,Tuatapere.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Southland Region,1
30,Gladstone-Avenal.,Theft and Related Offences,2023,Southland Region,1
31,Strathern.,Theft and Related Offences,2023,Southland Region,1
32,Central Gore.,Acts Intended to Cause Injury,2023,Southland Region,1
33,Heidelberg.,Acts Intended to Cause Injury,2023,Southland Region,1
34,Otakaro Park.,Theft and Related Offences,2023,Southland Region,1
35,West Invercargill.,Theft and Related Offences,2023,Southland Region,1
36,Hawthorndale.,Acts Intended to Cause Injury,2023,Southland Region,1
37,Otakaro Park.,Acts Intended to Cause Injury,2023,Southland Region,1
38,Crinan.,Acts Intended to Cause Injury,2023,Southland Region,1
39,West Invercargill.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Southland Region,1
40,Bluff.,Acts Intended to Cause Injury,2023,Southland Region,1
41,Appleby-Kew.,Acts Intended to Cause Injury,2023,Southland Region,1
42,Otakaro Park.,Theft and Related Offences,2023,Southland Region,1
43,Myross Bush.,Theft and Related Offences,2023,Southland Region,1
44,Strathern.,Acts Intended to Cause Injury,2023,Southland Region,1
45,Otakaro Park.,Acts Intended to Cause Injury,2023,Southland Region,1
46,Strathern.,Acts Intended to Cause Injury,2023,Southland Region,1
47,Hawthorndale.,Acts Intended to Cause Injury,2023,Southland Region,1
48,Central Gore.,Theft and Related Offences,2023,Southland Region,1
49,Otakaro Park.,Theft and Related Offences,2023,Southland Region,1
50,West Invercargill.,Theft and Related Offences,2023,Southland Region,1
51,Newfield-Rockdale.,"Robbery, Extortion and Related Offences",2023,Southland Region,1
52,Bluff.,Theft and Related Offences,2023,Southland Region,1
53,Crinan.,Theft and Related Offences,2023,Southland Region,1
54,Georgetown.,"Robbery, Extortion and Related Offences",2023,Southland Region,1
55,Newfield-Rockdale.,"Robbery, Extortion and Related Offences",2023,Southland Region,1
56,Crinan.,Acts Intended to Cause Injury,2023,Southland Region,1
57,Gladstone-Avenal.,Acts Intended to Cause Injury,2023,Southland Region,1
58,Strathern.,"Robbery, Extortion and Related Offences",2023,Southland Region,1
59,Otakaro Park.,Theft and Related Offences,2023,Southland Region,1
60,West Gore.,Theft and Related Offences,2023,Southland Region,1
61,Wairio.,Acts Intended to Cause Injury,2023,Southland Region,1
62,Richmond.,Theft and Related Offences,2023,Southland Region,1
63,Windsor.,Theft and Related Offences,2023,Southland Region,1
64,Dacre.,"Robbery, Extortion and Related Offences",2023,Southland Region,1
65,Grasmere.,Theft and Related Offences,2023,Southland Region,1
66,Georgetown.,Theft and Related Offences,2023,Southland Region,1
67,Otakaro Park.,Acts Intended to Cause Injury,2023,Southland Region,1
68,Heidelberg.,Acts Intended to Cause Injury,2023,Southland Region,1
69,Hawthorndale.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Southland Region,1
70,Strathern.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Southland Region,1
71,Dacre.,Acts Intended to Cause Injury,2023,Southland Region,1
72,East Gore.,Theft and Related Offences,2023,Southland Region,1
73,Otatara.,Theft and Related Offences,2023,Southland Region,1
74,Windsor.,Theft and Related Offences,2023,Southland Region,1
75,West Invercargill.,Theft and Related Offences,2023,Southland Region,1
76,Kingswell-Clifton.,Acts Intended to Cause Injury,2023,Southland Region,1
77,Strathern.,Acts Intended to Cause Injury,2023,Southland Region,1
78,Wairio.,Acts Intended to Cause Injury,2023,Southland Region,1
79,Greenhills.,Theft and Related Offences,2023,Southland Region,1
80,Hawthorndale.,Theft and Related Offences,2023,Southland Region,1
81,Otakaro Park.,Theft and Related Offences,2023,Southland Region,1
82,West Invercargill.,Theft and Related Offences,2023,Southland Region,1
83,Central Gore.,Theft and Related Offences,2023,Southland Region,1
84,Windsor.,Theft and Related Offences,2023,Southland Region,1
85,Appleby-Kew.,"Robbery, Extortion and Related Offences",2023,Southland Region,1
86,Crinan.,"Robbery, Extortion and Related Offences",2023,Southland Region,3
87,Riverton East.,Acts Intended to Cause Injury,2023,Southland Region,1
88,Otakaro Park.,Theft and Related Offences,2023,Southland Region,1
89,Otatara.,Theft and Related Offences,2023,Southland Region,1
90,Otakaro Park.,Acts Intended to Cause Injury,2023,Southland Region,1
91,Gladstone-Avenal.,Acts Intended to Cause Injury,2023,Southland Region,1
92,Windsor.,"Robbery, Extortion and Related Offences",2023,Southland Region,1
93,Crinan.,"Robbery, Extortion and Related Offences",2023,Southland Region,1
94,West Invercargill.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Southland Region,2
95,Waituna.,Acts Intended to Cause Injury,2023,Southland Region,1
96,Windsor.,Theft and Related Offences,2023,Southland Region,1
97,Strathern.,"Robbery, Extortion and Related Offences",2023,Southland Region,2
98,West Invercargill.,"Robbery, Extortion and Related Offences",2023,Southland Region,1
99,Appleby-Kew.,Acts Intended to Cause Injury,2023,Southland Region,1
100,Rosedale.,Acts Intended to Cause Injury,2023,Southland Region,1
101,Winton.,Theft and Related Offences,2023,Southland Region,1
102,Waverley-Glengarry.,Theft and Related Offences,2023,Southland Region,1
103,Strathern.,Theft and Related Offences,2023,Southland Region,2
104,Wyndham.,Theft and Related Offences,2023,Southland Region,1
105,Bluff.,Acts Intended to Cause Injury,2023,Southland Region,1
106,Strathern.,Acts Intended to Cause Injury,2023,Southland Region,1
107,Otakaro Park.,Sexual Assault and Related Offences,2023,Southland Region,1
108,Oreti Beach.,Acts Intended to Cause Injury,2023,Southland Region,1
