,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Moturoa.,Theft and Related Offences,2023,Taranaki Region,1
1,Mount Bryan.,Theft and Related Offences,2023,Taranaki Region,1
2,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
3,Barrett.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Taranaki Region,1
4,Glen Avon.,Theft and Related Offences,2023,Taranaki Region,1
5,Waitara East.,Theft and Related Offences,2023,Taranaki Region,1
6,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
7,New Plymouth Central.,Theft and Related Offences,2023,Taranaki Region,1
8,Hawera South.,Theft and Related Offences,2023,Taranaki Region,1
9,Waitara West.,Theft and Related Offences,2023,Taranaki Region,1
10,Lynmouth.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Taranaki Region,1
11,Douglas.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Taranaki Region,1
12,Hawera North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Taranaki Region,1
13,Westown.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Taranaki Region,1
14,Hawera South.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Taranaki Region,1
15,Kahui.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Taranaki Region,1
16,Marfell.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Taranaki Region,1
17,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
18,Ohawe Beach.,Acts Intended to Cause Injury,2023,Taranaki Region,1
19,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
20,Kawaroa.,Acts Intended to Cause Injury,2023,Taranaki Region,2
21,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
22,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
23,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
24,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
25,Moturoa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
26,Frankleigh.,Acts Intended to Cause Injury,2023,Taranaki Region,1
27,Ohangai.,Acts Intended to Cause Injury,2023,Taranaki Region,1
28,Eltham.,Acts Intended to Cause Injury,2023,Taranaki Region,1
29,Waitara East.,Acts Intended to Cause Injury,2023,Taranaki Region,1
30,Fitzroy.,Acts Intended to Cause Injury,2023,Taranaki Region,1
31,Barrett.,Acts Intended to Cause Injury,2023,Taranaki Region,1
32,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
33,Kaitake.,Acts Intended to Cause Injury,2023,Taranaki Region,1
34,Kaitake.,Acts Intended to Cause Injury,2023,Taranaki Region,1
35,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
36,Welbourn.,Acts Intended to Cause Injury,2023,Taranaki Region,1
37,Stratford East.,Acts Intended to Cause Injury,2023,Taranaki Region,1
38,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
39,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
40,Opunake.,Acts Intended to Cause Injury,2023,Taranaki Region,1
41,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
42,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
43,Patea.,Acts Intended to Cause Injury,2023,Taranaki Region,2
44,Merrilands.,Acts Intended to Cause Injury,2023,Taranaki Region,1
45,Patea.,Acts Intended to Cause Injury,2023,Taranaki Region,1
46,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
47,Fitzroy.,Acts Intended to Cause Injury,2023,Taranaki Region,1
48,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
49,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
50,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
51,Merrilands.,Acts Intended to Cause Injury,2023,Taranaki Region,1
52,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
53,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
54,Fitzroy.,Acts Intended to Cause Injury,2023,Taranaki Region,1
55,Welbourn.,Acts Intended to Cause Injury,2023,Taranaki Region,1
56,Struan Park.,Acts Intended to Cause Injury,2023,Taranaki Region,1
57,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
58,Moturoa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
59,Lynmouth.,Acts Intended to Cause Injury,2023,Taranaki Region,1
60,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
61,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
62,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
63,Ohawe Beach.,Acts Intended to Cause Injury,2023,Taranaki Region,1
64,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
65,Stratford East.,Acts Intended to Cause Injury,2023,Taranaki Region,1
66,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
67,Kaimata.,Acts Intended to Cause Injury,2023,Taranaki Region,1
68,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
69,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
70,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
71,Stratford West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
72,Okaiawa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
73,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
74,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
75,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
76,Kawaroa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
77,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
78,Stratford East.,Acts Intended to Cause Injury,2023,Taranaki Region,1
79,Fitzroy.,Acts Intended to Cause Injury,2023,Taranaki Region,1
80,Marfell.,Acts Intended to Cause Injury,2023,Taranaki Region,1
81,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
82,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
83,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
84,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
85,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
86,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
87,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
88,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
89,Kaponga.,Acts Intended to Cause Injury,2023,Taranaki Region,1
90,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
91,Merrilands.,Acts Intended to Cause Injury,2023,Taranaki Region,1
92,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
93,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,2
