,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Richmond West.,Theft and Related Offences,2023,Tasman Region,1
1,Takaka.,Acts Intended to Cause Injury,2023,Tasman Region,1
2,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
3,Hope.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
4,Richmond West.,Acts Intended to Cause Injury,2023,Tasman Region,1
5,Richmond East.,Acts Intended to Cause Injury,2023,Tasman Region,1
6,Motueka East.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
7,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
8,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
9,Motueka East.,Theft and Related Offences,2023,Tasman Region,1
10,Golden Bay.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
11,Golden Bay.,Theft and Related Offences,2023,Tasman Region,1
12,Moutere Inlet.,Acts Intended to Cause Injury,2023,Tasman Region,1
13,Richmond East.,Theft and Related Offences,2023,Tasman Region,1
14,Takaka.,Theft and Related Offences,2023,Tasman Region,1
15,Brightwater.,Theft and Related Offences,2023,Tasman Region,1
16,Richmond West.,Theft and Related Offences,2023,Tasman Region,1
17,Motueka Outer.,Theft and Related Offences,2023,Tasman Region,1
18,Motueka Outer.,Theft and Related Offences,2023,Tasman Region,1
19,Richmond East.,Sexual Assault and Related Offences,2023,Tasman Region,1
20,Wai-Iti.,Acts Intended to Cause Injury,2023,Tasman Region,1
21,Motueka Outer.,Theft and Related Offences,2023,Tasman Region,1
22,Riwaka.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
23,Richmond East.,Theft and Related Offences,2023,Tasman Region,1
24,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
25,Brightwater.,Theft and Related Offences,2023,Tasman Region,1
26,Takaka.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
27,Motueka East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
28,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
29,Oceanic-Tasman Region.,Theft and Related Offences,2023,Tasman Region,1
30,Motueka Outer.,Theft and Related Offences,2023,Tasman Region,1
31,Motueka Outer.,Theft and Related Offences,2023,Tasman Region,1
32,Rabbit Island.,Theft and Related Offences,2023,Tasman Region,1
33,Riwaka.,Theft and Related Offences,2023,Tasman Region,1
34,Richmond East.,Theft and Related Offences,2023,Tasman Region,1
35,Richmond West.,Theft and Related Offences,2023,Tasman Region,1
36,Brightwater.,Theft and Related Offences,2023,Tasman Region,1
37,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
38,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
39,Richmond West.,Sexual Assault and Related Offences,2023,Tasman Region,1
40,Richmond West.,Theft and Related Offences,2023,Tasman Region,1
41,Richmond East.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
42,Richmond West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
43,Motueka Outer.,Theft and Related Offences,2023,Tasman Region,1
44,Best Island.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
45,Richmond West.,Theft and Related Offences,2023,Tasman Region,1
46,Motueka East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
47,Richmond East.,Acts Intended to Cause Injury,2023,Tasman Region,1
48,Richmond East.,Acts Intended to Cause Injury,2023,Tasman Region,1
49,Wai-Iti.,Theft and Related Offences,2023,Tasman Region,1
