,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Inland Water-Lake Taupo.,Acts Intended to Cause Injury,2023,Waikato Region,1
1,Inland Water-Lake Taupo.,Theft and Related Offences,2023,Waikato Region,1
2,Hamilton Central.,Acts Intended to Cause Injury,2023,Waikato Region,1
3,Grandview.,Acts Intended to Cause Injury,2023,Waikato Region,1
4,Inland Water-Lake Taupo.,Theft and Related Offences,2023,Waikato Region,1
5,Hamilton Central.,Acts Intended to Cause Injury,2023,Waikato Region,1
6,Hamilton East.,Acts Intended to Cause Injury,2023,Waikato Region,1
7,Inland Water-Lake Taupo.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
8,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
9,Frankton Junction.,Acts Intended to Cause Injury,2023,Waikato Region,1
10,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
11,Grandview.,Acts Intended to Cause Injury,2023,Waikato Region,1
12,Claudelands.,Acts Intended to Cause Injury,2023,Waikato Region,1
13,Clarkin.,Acts Intended to Cause Injury,2023,Waikato Region,1
14,Hamilton Central.,Acts Intended to Cause Injury,2023,Waikato Region,1
15,Te Kuiti.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
16,Hamilton Lake.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
17,Swarbrick.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
18,Tuakau.,Theft and Related Offences,2023,Waikato Region,1
19,Tuakau.,Theft and Related Offences,2023,Waikato Region,1
20,Chedworth.,Theft and Related Offences,2023,Waikato Region,1
21,Huntington.,Theft and Related Offences,2023,Waikato Region,1
22,Inland Water-Lake Taupo.,Theft and Related Offences,2023,Waikato Region,1
23,Huntington.,Theft and Related Offences,2023,Waikato Region,1
24,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
25,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
26,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
27,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
28,Waerenga.,Acts Intended to Cause Injury,2023,Waikato Region,1
29,Waerenga.,Acts Intended to Cause Injury,2023,Waikato Region,1
30,Grandview.,Acts Intended to Cause Injury,2023,Waikato Region,1
31,Beerescourt.,Acts Intended to Cause Injury,2023,Waikato Region,1
32,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
33,Tuakau.,Theft and Related Offences,2023,Waikato Region,1
34,Horsham Downs.,Theft and Related Offences,2023,Waikato Region,1
35,Hamilton East.,Theft and Related Offences,2023,Waikato Region,1
36,Chartwell.,Theft and Related Offences,2023,Waikato Region,1
37,Chedworth.,Theft and Related Offences,2023,Waikato Region,1
38,Rotokauri.,Theft and Related Offences,2023,Waikato Region,1
39,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
40,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
41,Hillcrest West.,Theft and Related Offences,2023,Waikato Region,1
42,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
43,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
44,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
45,Inland Water-Lake Taupo.,Theft and Related Offences,2023,Waikato Region,1
46,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
47,Huntly East.,Acts Intended to Cause Injury,2023,Waikato Region,2
48,Claudelands.,Acts Intended to Cause Injury,2023,Waikato Region,1
49,Nawton.,Acts Intended to Cause Injury,2023,Waikato Region,1
50,Waikato Western Hills.,Acts Intended to Cause Injury,2023,Waikato Region,1
51,Kainui.,Theft and Related Offences,2023,Waikato Region,1
52,Huntington.,Theft and Related Offences,2023,Waikato Region,1
53,Ngaruawahia.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
54,Clarkin.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,2
55,Tauhara.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
56,Huntly West.,Acts Intended to Cause Injury,2023,Waikato Region,1
57,Ngaruawahia.,Acts Intended to Cause Injury,2023,Waikato Region,1
58,Hamilton Lake.,Acts Intended to Cause Injury,2023,Waikato Region,2
59,Flagstaff.,Acts Intended to Cause Injury,2023,Waikato Region,1
60,Onewhero.,Theft and Related Offences,2023,Waikato Region,1
61,Te Rapa.,Theft and Related Offences,2023,Waikato Region,3
62,Hamilton Central.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
63,Huntly East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
64,Chedworth.,Acts Intended to Cause Injury,2023,Waikato Region,1
65,Peachgrove.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
66,University.,Acts Intended to Cause Injury,2023,Waikato Region,1
67,Enderley.,Acts Intended to Cause Injury,2023,Waikato Region,1
68,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,3
69,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
70,Crawshaw.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
71,Hamilton Central.,Sexual Assault and Related Offences,2023,Waikato Region,1
72,Te Rapa.,Acts Intended to Cause Injury,2023,Waikato Region,1
73,Chedworth.,Theft and Related Offences,2023,Waikato Region,1
74,Beerescourt.,Theft and Related Offences,2023,Waikato Region,1
75,Huntly East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
76,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
77,Ngaruawahia.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
78,Fairview Downs.,Theft and Related Offences,2023,Waikato Region,1
79,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
80,Hillcrest West.,Theft and Related Offences,2023,Waikato Region,1
81,Hillcrest West.,Theft and Related Offences,2023,Waikato Region,1
82,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
83,Kainui.,Theft and Related Offences,2023,Waikato Region,1
84,Frankton Junction.,Theft and Related Offences,2023,Waikato Region,1
85,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
86,Burbush.,Theft and Related Offences,2023,Waikato Region,1
87,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
88,Te Rapa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
89,Te Rapa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
90,Enderley.,Acts Intended to Cause Injury,2023,Waikato Region,1
91,Melville.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
92,Chedworth.,Theft and Related Offences,2023,Waikato Region,3
93,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,3
94,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
95,Rotokauri.,Theft and Related Offences,2023,Waikato Region,1
96,Huntly West.,Theft and Related Offences,2023,Waikato Region,1
97,Bryant.,Acts Intended to Cause Injury,2023,Waikato Region,1
98,Enderley.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
99,Tuakau.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
100,Whatawhata.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
101,Kainui.,Theft and Related Offences,2023,Waikato Region,1
102,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
103,Bryant.,Theft and Related Offences,2023,Waikato Region,1
104,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
105,Newstead.,Theft and Related Offences,2023,Waikato Region,1
106,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
107,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
108,Te Rapa.,Theft and Related Offences,2023,Waikato Region,3
109,Chedworth.,Theft and Related Offences,2023,Waikato Region,3
110,Huntington.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
111,Hamilton Central.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
112,Pukete.,"Robbery, Extortion and Related Offences",2023,Waikato Region,1
113,Huntly West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
114,Huntington.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
115,Maeroa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
116,Te Rapa.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
117,Hamilton East.,Theft and Related Offences,2023,Waikato Region,1
118,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
119,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
120,Chedworth.,Acts Intended to Cause Injury,2023,Waikato Region,1
121,Peachgrove.,Acts Intended to Cause Injury,2023,Waikato Region,1
122,Huntly West.,Acts Intended to Cause Injury,2023,Waikato Region,1
123,Ngaruawahia.,Acts Intended to Cause Injury,2023,Waikato Region,1
124,Chedworth.,Acts Intended to Cause Injury,2023,Waikato Region,1
125,Hamilton Central.,Acts Intended to Cause Injury,2023,Waikato Region,1
126,Melville.,Acts Intended to Cause Injury,2023,Waikato Region,1
127,Maeroa.,Acts Intended to Cause Injury,2023,Waikato Region,1
128,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
129,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
130,Kainui.,Theft and Related Offences,2023,Waikato Region,1
131,Enderley.,Theft and Related Offences,2023,Waikato Region,1
132,Raglan.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
133,Hamilton Lake.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
134,Ngaruawahia.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
135,Tokoroa Central.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Waikato Region,1
136,University.,Acts Intended to Cause Injury,2023,Waikato Region,2
137,Pukete West.,Acts Intended to Cause Injury,2023,Waikato Region,1
138,Dinsdale South.,Acts Intended to Cause Injury,2023,Waikato Region,1
139,Huntly East.,Acts Intended to Cause Injury,2023,Waikato Region,1
140,Hamilton Lake.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
141,Hamilton Lake.,Theft and Related Offences,2023,Waikato Region,1
142,University.,Theft and Related Offences,2023,Waikato Region,1
143,Claudelands.,Acts Intended to Cause Injury,2023,Waikato Region,1
144,Crawshaw.,Acts Intended to Cause Injury,2023,Waikato Region,1
145,Clarkin.,Acts Intended to Cause Injury,2023,Waikato Region,1
146,Frankton Junction.,Acts Intended to Cause Injury,2023,Waikato Region,1
147,Ngaruawahia.,Theft and Related Offences,2023,Waikato Region,1
148,Newstead.,Theft and Related Offences,2023,Waikato Region,1
149,Newstead.,Theft and Related Offences,2023,Waikato Region,1
150,Peachgrove.,Theft and Related Offences,2023,Waikato Region,1
