,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Opaki-Fernridge.,Theft and Related Offences,2023,Wellington Region,1
1,Hataitai North.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
2,Titahi Bay North.,"Robbery, Extortion and Related Offences",2023,Wellington Region,2
3,Maungakotukutuku.,"Robbery, Extortion and Related Offences",2023,Wellington Region,4
4,Upper Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
5,Taita North.,Acts Intended to Cause Injury,2023,Wellington Region,1
6,Porirua Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
7,Opaki-Fernridge.,Theft and Related Offences,2023,Wellington Region,1
8,Wilford.,Theft and Related Offences,2023,Wellington Region,1
9,Cannons Creek South.,Acts Intended to Cause Injury,2023,Wellington Region,1
10,Otaki.,Acts Intended to Cause Injury,2023,Wellington Region,1
11,Porirua Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
12,Raumati Beach.,Acts Intended to Cause Injury,2023,Wellington Region,1
13,Paremata-Postgate.,"Robbery, Extortion and Related Offences",2023,Wellington Region,2
14,Porirua East.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
15,Moera.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
16,Wellington City-Marinas.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Wellington Region,1
17,Tirohanga.,Sexual Assault and Related Offences,2023,Wellington Region,1
18,Maidstone.,Sexual Assault and Related Offences,2023,Wellington Region,1
19,Porirua Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
20,Carterton.,Theft and Related Offences,2023,Wellington Region,1
21,Epuni West.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
22,Taita South.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
23,Masterton Central.,Theft and Related Offences,2023,Wellington Region,2
24,Holborn.,Sexual Assault and Related Offences,2023,Wellington Region,1
25,Boulcott.,Sexual Assault and Related Offences,2023,Wellington Region,1
26,Paraparaumu Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
27,Porirua Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
28,Otaki.,Acts Intended to Cause Injury,2023,Wellington Region,1
29,Waingawa.,Theft and Related Offences,2023,Wellington Region,1
30,Delaney.,Theft and Related Offences,2023,Wellington Region,1
31,Wilford.,Theft and Related Offences,2023,Wellington Region,1
32,Mana-Camborne.,Acts Intended to Cause Injury,2023,Wellington Region,1
33,Porirua Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
34,Paraparaumu Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
35,Brentwood.,Theft and Related Offences,2023,Wellington Region,1
36,Kelson.,Theft and Related Offences,2023,Wellington Region,1
37,Avalon East.,Theft and Related Offences,2023,Wellington Region,1
38,Brentwood.,Sexual Assault and Related Offences,2023,Wellington Region,1
39,Wallaceville.,Sexual Assault and Related Offences,2023,Wellington Region,1
40,Emerald Hill.,Sexual Assault and Related Offences,2023,Wellington Region,1
41,Otaki.,Acts Intended to Cause Injury,2023,Wellington Region,1
42,Papakowhai North.,Acts Intended to Cause Injury,2023,Wellington Region,1
43,Avalon East.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
44,Haywards-Manor Park.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
45,Poets Block.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
46,Manuka.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
47,Onepoto.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
48,Otaki.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
49,Cannons Creek East.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
50,Lansdowne.,Acts Intended to Cause Injury,2023,Wellington Region,1
51,Brentwood.,Acts Intended to Cause Injury,2023,Wellington Region,1
52,Maoribank.,Acts Intended to Cause Injury,2023,Wellington Region,1
53,Lambton.,Sexual Assault and Related Offences,2023,Wellington Region,1
54,Esplanade.,Sexual Assault and Related Offences,2023,Wellington Region,1
55,Naenae South.,Sexual Assault and Related Offences,2023,Wellington Region,1
56,Porirua East.,Acts Intended to Cause Injury,2023,Wellington Region,1
57,Linden.,Acts Intended to Cause Injury,2023,Wellington Region,1
58,Paraparaumu Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
59,Titahi Bay South.,Acts Intended to Cause Injury,2023,Wellington Region,1
60,Paraparaumu Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
61,Paekakariki.,Acts Intended to Cause Injury,2023,Wellington Region,1
62,Otaki.,Acts Intended to Cause Injury,2023,Wellington Region,1
63,Masterton West.,Theft and Related Offences,2023,Wellington Region,1
64,Maidstone.,Theft and Related Offences,2023,Wellington Region,1
65,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
66,Masterton East.,Theft and Related Offences,2023,Wellington Region,1
67,Wilford.,Theft and Related Offences,2023,Wellington Region,1
68,Inlet-Porirua Harbour.,Theft and Related Offences,2023,Wellington Region,1
69,Upper Hutt Central.,Theft and Related Offences,2023,Wellington Region,3
70,Masterton West.,Theft and Related Offences,2023,Wellington Region,1
71,Waikanae West.,Acts Intended to Cause Injury,2023,Wellington Region,1
72,Raumati Beach.,Acts Intended to Cause Injury,2023,Wellington Region,1
73,Porirua Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
74,Porirua Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
75,Elsdon-Takapuwahia.,Acts Intended to Cause Injury,2023,Wellington Region,1
76,Otaki Forks.,Acts Intended to Cause Injury,2023,Wellington Region,1
77,Pukerua Bay.,Acts Intended to Cause Injury,2023,Wellington Region,1
78,Glendale.,Theft and Related Offences,2023,Wellington Region,1
79,Glendale.,Theft and Related Offences,2023,Wellington Region,1
80,Holborn.,Theft and Related Offences,2023,Wellington Region,1
81,Homedale East.,Theft and Related Offences,2023,Wellington Region,1
82,Homedale West.,Theft and Related Offences,2023,Wellington Region,1
83,Epuni East.,Acts Intended to Cause Injury,2023,Wellington Region,1
84,Wilford.,Theft and Related Offences,2023,Wellington Region,1
85,Wilford.,Theft and Related Offences,2023,Wellington Region,1
86,Wilford.,Theft and Related Offences,2023,Wellington Region,1
87,Upper Hutt Central.,Sexual Assault and Related Offences,2023,Wellington Region,1
88,Ebdentown.,Sexual Assault and Related Offences,2023,Wellington Region,1
89,Trentham South.,Sexual Assault and Related Offences,2023,Wellington Region,1
90,Tawhai.,Sexual Assault and Related Offences,2023,Wellington Region,2
91,Heretaunga-Silverstream.,Sexual Assault and Related Offences,2023,Wellington Region,1
92,Emerald Hill.,Sexual Assault and Related Offences,2023,Wellington Region,1
93,Mt Holdsworth.,Sexual Assault and Related Offences,2023,Wellington Region,1
94,Naenae South.,Theft and Related Offences,2023,Wellington Region,1
95,Pinehaven.,Theft and Related Offences,2023,Wellington Region,1
96,Holborn.,Theft and Related Offences,2023,Wellington Region,1
97,Glendale.,Theft and Related Offences,2023,Wellington Region,1
98,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
99,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
100,Paraparaumu Central.,Theft and Related Offences,2023,Wellington Region,1
101,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
102,Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
103,Churton Park North.,Acts Intended to Cause Injury,2023,Wellington Region,1
104,Paraparaumu Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,3
105,Tawa Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
106,Willis Street-Cambridge Terrace.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
107,Willis Street-Cambridge Terrace.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
108,Lambton.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
109,Hutt Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
110,Johnsonville Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
111,Esplanade.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
112,Miramar South.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
113,Esplanade.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
114,Willis Street-Cambridge Terrace.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
115,Thorndon-Tinakori Road.,"Robbery, Extortion and Related Offences",2023,Wellington Region,2
116,Lyall Bay-Airport-Moa Point.,Sexual Assault and Related Offences,2023,Wellington Region,1
117,Thorndon-Tinakori Road.,Sexual Assault and Related Offences,2023,Wellington Region,1
118,Kilbirnie West-Hataitai South.,Sexual Assault and Related Offences,2023,Wellington Region,1
119,Brooklyn.,Sexual Assault and Related Offences,2023,Wellington Region,1
120,Mt Cook-Wallace Street.,Sexual Assault and Related Offences,2023,Wellington Region,1
121,Willis Street-Cambridge Terrace.,Sexual Assault and Related Offences,2023,Wellington Region,1
122,Lambton.,Sexual Assault and Related Offences,2023,Wellington Region,1
123,Masterton Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
124,Fernlea.,Theft and Related Offences,2023,Wellington Region,1
125,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
126,Parkway.,Theft and Related Offences,2023,Wellington Region,1
127,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
128,Upper Hutt Central.,Theft and Related Offences,2023,Wellington Region,1
129,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
130,Upper Hutt Central.,Theft and Related Offences,2023,Wellington Region,1
131,Elderslea.,Theft and Related Offences,2023,Wellington Region,1
132,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
133,Lambton.,Acts Intended to Cause Injury,2023,Wellington Region,1
134,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
135,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
136,Karori East.,Acts Intended to Cause Injury,2023,Wellington Region,1
137,Strathmore Park.,Acts Intended to Cause Injury,2023,Wellington Region,1
138,Khandallah Park-Broadmeadows.,Acts Intended to Cause Injury,2023,Wellington Region,1
139,Moera.,Acts Intended to Cause Injury,2023,Wellington Region,1
140,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
141,Lambton.,Acts Intended to Cause Injury,2023,Wellington Region,1
142,Avalon East.,Acts Intended to Cause Injury,2023,Wellington Region,1
143,Mt Cook-Wallace Street.,Acts Intended to Cause Injury,2023,Wellington Region,1
144,Tawa South.,Theft and Related Offences,2023,Wellington Region,1
145,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
146,Porirua Central.,Theft and Related Offences,2023,Wellington Region,1
147,Wilford.,Theft and Related Offences,2023,Wellington Region,1
148,Heretaunga.,Theft and Related Offences,2023,Wellington Region,1
149,Taita North.,Theft and Related Offences,2023,Wellington Region,1
150,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
151,Trentham South.,Acts Intended to Cause Injury,2023,Wellington Region,1
152,Whareama.,Acts Intended to Cause Injury,2023,Wellington Region,1
153,Willis Street-Cambridge Terrace.,Sexual Assault and Related Offences,2023,Wellington Region,1
