,Area Unit,ANZSOC Division,Year,Region,Victimisations
0,Greymouth Central.,Acts Intended to Cause Injury,2023,West Coast Region,1
1,Otira.,Acts Intended to Cause Injury,2023,West Coast Region,1
2,Westport Urban.,Acts Intended to Cause Injury,2023,West Coast Region,1
3,Hokitika Urban.,Acts Intended to Cause Injury,2023,West Coast Region,2
4,Inlet-Buller River.,Theft and Related Offences,2023,West Coast Region,1
5,Greymouth Central.,Acts Intended to Cause Injury,2023,West Coast Region,1
6,Hokitika Urban.,Acts Intended to Cause Injury,2023,West Coast Region,1
7,Westport Urban.,Acts Intended to Cause Injury,2023,West Coast Region,1
8,Ahaura.,Acts Intended to Cause Injury,2023,West Coast Region,1
9,Fox Glacier.,Acts Intended to Cause Injury,2023,West Coast Region,1
10,Greymouth Central.,Acts Intended to Cause Injury,2023,West Coast Region,1
11,Inlet-Buller River.,Theft and Related Offences,2023,West Coast Region,1
12,Barrytown.,Theft and Related Offences,2023,West Coast Region,1
13,Hokitika Urban.,Theft and Related Offences,2023,West Coast Region,1
14,Cobden.,Theft and Related Offences,2023,West Coast Region,2
15,Inangahua Junction.,Theft and Related Offences,2023,West Coast Region,1
16,Westport Urban.,Theft and Related Offences,2023,West Coast Region,1
17,Cobden.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
18,Westport Urban.,Acts Intended to Cause Injury,2023,West Coast Region,1
19,Greymouth Central.,Acts Intended to Cause Injury,2023,West Coast Region,1
20,Hokitika Urban.,Acts Intended to Cause Injury,2023,West Coast Region,1
21,Haupiri.,Acts Intended to Cause Injury,2023,West Coast Region,1
22,Haupiri.,Acts Intended to Cause Injury,2023,West Coast Region,1
23,Haupiri.,Acts Intended to Cause Injury,2023,West Coast Region,1
24,Westport Urban.,Acts Intended to Cause Injury,2023,West Coast Region,1
25,Cobden.,Acts Intended to Cause Injury,2023,West Coast Region,1
26,Haast.,Acts Intended to Cause Injury,2023,West Coast Region,2
27,Nelson Creek-Ngahere.,Theft and Related Offences,2023,West Coast Region,1
28,Westport Rural.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
29,Orowaiti.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
30,South Beach-Camerons.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
31,Fox Glacier.,Theft and Related Offences,2023,West Coast Region,1
32,Westport Urban.,Theft and Related Offences,2023,West Coast Region,1
33,Hokitika Rural.,Theft and Related Offences,2023,West Coast Region,1
34,Barrytown.,Theft and Related Offences,2023,West Coast Region,1
35,Greymouth Central.,Theft and Related Offences,2023,West Coast Region,1
36,Greymouth Central.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
37,Blaketown.,"Robbery, Extortion and Related Offences",2023,West Coast Region,1
38,Inangahua Valley.,Acts Intended to Cause Injury,2023,West Coast Region,1
39,Kumara.,Theft and Related Offences,2023,West Coast Region,1
40,Hokitika Urban.,Theft and Related Offences,2023,West Coast Region,1
41,Harihari.,Theft and Related Offences,2023,West Coast Region,2
42,Greymouth South.,Theft and Related Offences,2023,West Coast Region,1
43,Greymouth Central.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
44,Westport Urban.,Acts Intended to Cause Injury,2023,West Coast Region,1
45,Reefton.,Sexual Assault and Related Offences,2023,West Coast Region,1
46,Westport Urban.,Sexual Assault and Related Offences,2023,West Coast Region,1
47,Maruia.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
48,Haupiri.,Acts Intended to Cause Injury,2023,West Coast Region,1
49,Haupiri.,Acts Intended to Cause Injury,2023,West Coast Region,1
50,Waitaha.,Theft and Related Offences,2023,West Coast Region,1
51,Greymouth Central.,Theft and Related Offences,2023,West Coast Region,1
52,Greymouth South.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
53,Westport Rural.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
54,Waimea-Arahura.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
55,Taramakau.,Acts Intended to Cause Injury,2023,West Coast Region,1
56,Hokitika Urban.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,West Coast Region,1
